Nº chamada;Nº REDS;Data/hora de criação;Local do fato;Latitude  do local;Longitude do local;Natureza;Unidade Responsável;Recursos empenhados;Alerta;Destaque;Envolve autoridade;Tipo de classificação;Situação;Data/hora da situação atual;Evento associado
2020-10896603-3;(BM) 2020-025990460-001;01/06/2020 09:35;RUA RIO PARDO, Nº S/N - RECANTO DA HARMONIA - PASSOS;-207.040.154;-466.000.288;V01007 - VITIMA COM DISPNEIA (FALTA DE AR) (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR0565;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;03/06/2020 09:31;Não
2020-10898677-0;(BM) 2020-026026052-001;01/06/2020 13:07;RUA DOUTOR CARVALHO, Nº 1455 - NOSSA SENHORA DAS GRAÇAS - PASSOS;-207.352.269;-466.037.303;W04000 - NADA CONSTATADO (C) (Prioridade: 3 - Baixa);1CIA IND/2CIA/1PEL(PASSOS);ABTS0495;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;03/06/2020 09:34;Não
2020-10898973-3;(BM) 2020-026027200-001;01/06/2020 13:37;RUA SAO FRANCISCO DE ASSIS, Nº 1125 - RESIDENCIAL ELDORADO - PASSOS;-207.287.956;-466.227.569;O04012 - INCENDIO EM LOTE VAGO (AREA URBANA) (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ABTS0495;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;03/06/2020 09:33;Não
2020-10904439-0;(BM) 2020-026107472-001;01/06/2020 20:19;RUA CORONEL JOAO LOURENCO, Nº 122 - PARQUE DA ESTACAO - PASSOS;-207.078.162;-46.613.048;W04000 - NADA CONSTATADO (C) (Prioridade: 3 - Baixa);1CIA IND/2CIA/1PEL(PASSOS);ASL00064;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;03/06/2020 09:32;Não
2020-10904748-5;(BM) 2020-026107626-001;01/06/2020 20:45;RUA ELVIRA SILVEIRA COIMBRA, Nº 362 - CENTRO - PASSOS;-207.230.614;-466.115.508;S06001 - SALVAMENTO DE ANIMAL EM RISCO / PERIGO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ASL00064;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;03/06/2020 09:32;Não
2020-10906830-5;(BM) 2020-026137400-001;02/06/2020 01:38;RUA SEBASTIAO TEOFILO, Nº 250 - NOVA CALIFORNIA - PASSOS;-207.012.189;-46.621.638;V01007 - VITIMA COM DISPNEIA (FALTA DE AR) (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR0565;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;03/06/2020 07:07;Não
2020-10908848-1;(BM) 2020-026162563-001;02/06/2020 09:38;RUA CANJERANUS, Nº 940 - CANJERANUS - PASSOS;-207.112.789;-466.070.677;P01002 - VISTORIA DE LIBERACAO / EMISSAO DE AVCB (C) (Prioridade: 2 - Média);1CIA IND/2CIA/PEL PREV E VIST(PASSOS);APF01362;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;03/06/2020 06:47;Não
2020-10909372-9;(BM) 2020-026169671-001;02/06/2020 10:20;RUA TUPIS, Nº 325 - CANDEIAS - PASSOS;-20.721.762;-466.189.624;S06005 - CAPTURA DE INSETOS (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ASL00064;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;03/06/2020 06:48;Não
2020-10909653-8;(BM) 2020-026174815-001;02/06/2020 10:46;RUA BRANDOES, Nº 231 - BELO HORIZONTE - PASSOS;-207.258.514;-466.060.957;P01002 - VISTORIA DE LIBERACAO / EMISSAO DE AVCB (C) (Prioridade: 2 - Média);1CIA IND/2CIA/PEL PREV E VIST(PASSOS);APF01362 / ABTS0495;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;03/06/2020 06:49;Não
2020-10910751-4;(BM) 2020-026189538-001;02/06/2020 12:44;RUA EUNICE BERALDO LEMOS GOMES, Nº 307 - PENHA 2 - PASSOS;-207.177.203;-466.330.802;V01023 - VITIMA DE SINCOPE (DESMAIO) (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR0565;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;03/06/2020 07:07;Não
