Nº chamada;Nº REDS;Data/hora de criação;Local do fato;Latitude  do local;Longitude do local;Natureza;Unidade Responsável;Recursos empenhados;Alerta;Destaque;Envolve autoridade;Tipo de classificação;Situação;Data/hora da situação atual;Evento associado
2021-16196596-8;(BM) 2021-021049126-001;01/05/2021 11:08;RUA ITABIRA, Nº 321 - CALIFORNIA - PASSOS;-207.038.281;-466.170.592;V01007 - VITIMA COM DISPNEIA (FALTA DE AR) (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR0565;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;02/05/2021 07:56;Não
2021-16200035-8;(BM) 2021-021077214-001;01/05/2021 16:01;RUA PECUARIA, Nº S/N - RESIDENCIAL ELDORADO - PASSOS;-20.729.962;-466.185.253;O04012 - INCENDIO EM LOTE VAGO (AREA URBANA) (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ABTS0495;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;02/05/2021 07:56;Não
2021-16201380-1;(BM) 2021-021089745-001;01/05/2021 17:26;RUA ROMA, Nº 204 - CALIFORNIA - PASSOS;-207.071.683;-466.137.015;V03005 - VITIMA DE AGRESSAO FISICA SEM USO DE ARMA (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR0565;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;02/05/2021 07:56;Não
2021-16202774-2;(BM) 2021-021103017-001;01/05/2021 18:51;RODOVIA MG 050, Km 341 - PASSOS;-207.185.689;-464.769.187;O04013 - INCENDIO EM PASTO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ABTS0495;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;02/05/2021 07:56;Não
2021-16204004-6;(BM) 2021-021113943-001;01/05/2021 20:00;RUA ALBERTO PERES, Nº 300 - CASCALHO - CARMO DO RIO CLARO;;;W99000 - OUTROS PROCEDIMENTOS ADMINISTRATIVOS (C) (Prioridade: 3 - Baixa);1CIA IND/2CIA/1PEL(PASSOS);ASL00064;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;02/05/2021 07:56;Não
2021-16207463-0;(BM) 2021-021140526-001;01/05/2021 23:13;RUA VEREADOR ANTHERO G DOS REIS, Nº 130 - COHAB 5 - PASSOS;-207.205.729;-466.371.002;S06001 - SALVAMENTO DE ANIMAL EM RISCO / PERIGO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ABTS0495;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;02/05/2021 07:56;Não
2021-16209703-2;(BM) 2021-021154335-001;02/05/2021 01:20;RUA DOUTOR CARVALHO, Nº 1455 - NOSSA SENHORA DAS GRAÇAS - PASSOS;-207.352.269;-466.037.303;W99000 - OUTROS PROCEDIMENTOS ADMINISTRATIVOS (C) (Prioridade: 3 - Baixa);1CIA IND/2CIA/1PEL(PASSOS);UR0565;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;02/05/2021 14:02;Não
2021-16212459-1;(BM) 2021-021175789-001;02/05/2021 08:54;RUA DOUTOR CARVALHO, Nº 1455 - NOSSA SENHORA DAS GRAÇAS - PASSOS;-207.352.269;-466.037.303;Q03017 - TREINAMENTO DE PRIMEIROS SOCORROS (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);1193;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;03/05/2021 05:57;Não
2021-16212596-2;(BM) 2021-021178804-001;02/05/2021 09:12;RODOVIA MG 050, Nº S/N - MONSENHOR MESSIAS - PASSOS;-207.387.609;-46.597.429;O02033 - INCENDIO EM AMONTOADO DE LIXO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ABTS0495;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;03/05/2021 05:57;Não
2021-16213937-7;(BM) 2021-021188509-001;02/05/2021 12:03;RUA SAO PEDRO, Nº 123 - CANDEIAS - PASSOS;-207.197.509;-466.157.703;V01001 - VITIMA DE ACIDENTE VASCULAR CEREBRAL (AVC) (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR0565;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;03/05/2021 05:56;Não
2021-16214113-8;(BM) 2021-021190129-001;02/05/2021 12:29;RUA CACHOEIRAS, Nº S/N - NOVO HORIZONTE - PASSOS;-207.337.873;-465.985.918;O04012 - INCENDIO EM LOTE VAGO (AREA URBANA) (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ABTS0495;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;03/05/2021 05:56;Não
2021-16215877-8;(BM) 2021-021216705-001;02/05/2021 15:08;RUA SAO JOSE, Nº S/N - CARMELO - PASSOS;-207.142.744;-466.044.858;V03020 - VITIMA DE QUEIMADURA (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR0565;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;03/05/2021 05:56;Não
2021-16216880-8;(BM) 2021-021217020-001;02/05/2021 16:10;RUA SAO JOSE, Nº 383 - COUNTRY CLUB - POCOS DE CALDAS;-217.879.543;-465.915.699;X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/PEL PREV E VIST(PASSOS);APF01362;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;04/05/2021 04:49;Não
2021-16217146-3;;02/05/2021 16:28;AVENIDA OSVALDO ANTONIO REZENDE REIS, Nº S/N - SÃO BENEDITO - ALPINOPOLIS;-208.569.225;-463.923.752;W03000 - SOLICITANTE ENCONTRADO - PROVIDENCIA DISPENSADA (C) (Prioridade: 3 - Baixa);1CIA IND/2CIA/1PEL(PASSOS);ABTS0495;Não;Não;Não;DISPEN-DISPENSADO PELO SOLICITANTE;Classificada;03/05/2021 05:58;Não
2021-16220810-6;(BM) 2021-021260012-001;02/05/2021 20:21;RUA DA GRACA, Nº 75 - SAO FRANCISCO - PASSOS;-207.258.026;-466.193.414;V01004 - VITIMA COM CRISE DIABETICA / HIPOGLICEMIA (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR0565;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;03/05/2021 05:56;Não
2021-16226368-6;(BM) 2021-021307319-001;03/05/2021 08:44;RUA ANTONIA CRISPIM OLIVEIRA, Nº 413 - NOSSA SENHORA APARECIDA - CARMO DO RIO CLARO;-209.609.542;-461.319.158;P01002 - VISTORIA DE LIBERACAO / EMISSAO DE AVCB (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ASL00064;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;03/05/2021 10:59;Não
