Nº chamada;Nº REDS;Data/hora de criação;Local do fato;Latitude  do local;Longitude do local;Natureza;Unidade Responsável;Recursos empenhados;Alerta;Destaque;Envolve autoridade;Tipo de classificação;Situação;Data/hora da situação atual;Evento associado
2025-40563281-9;(BM) 2025-033688400-001;20/07/2025 20:38;RUA GERSON RIBEIRO, Nº 270 - NOVA CALIFORNIA - PASSOS;;;V02102 - VITIMA DE ATROPELAMENTO POR MOTOCICLETA (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;21/07/2025 17:39;Não
2026-44429601-0;(BM) 2026-011428968-001;08/03/2026 08:54;RUA REGISTRO, Nº 2001 - CONTAGEM;-198.932.026;-440.936.632;X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);BM1551159;Não;Não;Não;;Em controle;08/03/2026 10:41;Não
2026-44535246-2;(BM) 2026-011882824-001;14/03/2026 13:52;RUA TENENTE VITORINO, Nº 71 - SANTA TEREZA - BELO HORIZONTE;-19.915.413;-439.157.427;X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média);1CIA IND/1CIA/1PEL/PA BM(ANDRADAS);APF01728 / BM1429307;Não;Não;Não;;Terminada;16/03/2026 10:35;Não
2026-44565933-1;(BM) 2026-012131199-001;16/03/2026 07:04;AVENIDA SABIA, Nº S/N - MUARAMA 2 - PASSOS;-207.330.855;-466.157.928;S06001 - SALVAMENTO DE ANIMAL EM RISCO / PERIGO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ASL06087;Não;Não;Não;;Terminada;16/03/2026 08:04;Não
2026-44566126-5;(BM) 2026-012139862-001;16/03/2026 07:27;RUA ANTONIO PEREIRA DE BRITO, Nº 455 - ALVORADA - ITAU DE MINAS;-207.394.622;-467.407.528;S06001 - SALVAMENTO DE ANIMAL EM RISCO / PERIGO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ASL06087;Não;Não;Não;;Terminada;16/03/2026 10:35;Não
2026-44567580-4;(BM) 2026-012156781-001;16/03/2026 09:26;RUA PERNAMBUCO, Nº 25 - SAO BENEDITO - PASSOS;-20.718.497;-466.007.249;V01006 - VITIMA COM DIFICULDADE DE LOCOMOCAO (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;;Terminada;16/03/2026 10:48;Não
2026-44567816-9;(BM) 2026-012148681-001;16/03/2026 09:43;RUA RIO TIETE, Nº S/N - SANTA LUZIA - PASSOS;-207.080.913;-466.013.901;P01001 - VISTORIA DE FISCALIZACAO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/PEL PREV E VIST(PASSOS);APV06243;Não;Não;Não;;Terminada;16/03/2026 11:09;Não
2026-44569347-0;(BM) 2026-012168732-001;16/03/2026 11:25;RUA ARIZONA, Nº 129 - PASSOS;-20.735.828;-466.066.288;P01002 - VISTORIA DE LIBERACAO / EMISSAO DE AVCB (C) (Prioridade: 2 - Média);1CIA IND/2CIA/PEL PREV E VIST(PASSOS);APV06243;Não;Não;Não;;Terminada;16/03/2026 13:40;Não
2026-44571255-7;(BM) 2026-012192863-001;16/03/2026 13:55;RUA ITAJAI, Nº S/N - VILA RICA - PASSOS;;;O04012 - INCENDIO EM LOTE VAGO (AREA URBANA) (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);VOB00480;Não;Não;Não;;Terminada;16/03/2026 15:43;Não
2026-44571573-2;(BM) 2026-012196520-001;16/03/2026 14:13;RUA ELZO CALIXTO MATTAR, Nº 1923 - JARDIM EMBRATEL - PASSOS;-207.422.094;-466.046.037;V03018 - VITIMA DE QUEDA DA PROPRIA ALTURA (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;;Terminada;16/03/2026 15:36;Não
2026-44573402-0;(BM) 2026-012215963-001;16/03/2026 15:37;AVENIDA JUCA STOCKLER, Nº 2067 - JARDIM EMBRATEL - PASSOS;-207.412.264;-46.600.935;P01001 - VISTORIA DE FISCALIZACAO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/PEL PREV E VIST(PASSOS);APV06243;Não;Não;Não;;Terminada;16/03/2026 16:43;Não
2026-44574237-1;;16/03/2026 16:20;RUA EGITO, Nº 190 - PARQUE DAS NACOES - POCOS DE CALDAS;-218.470.782;-465.639.644;S06008 - CORTE DE ARVORE CAIDA EM VIA PUBLICA (C) (Prioridade: 2 - Média);1CIA IND/1CIA/1PEL;ASM10134;Não;Não;Não;;À caminho;16/03/2026 17:01;Não
