Nº chamada;Nº REDS;Data/hora de criação;Local do fato;Latitude  do local;Longitude do local;Natureza;Unidade Responsável;Recursos empenhados;Alerta;Destaque;Envolve autoridade;Tipo de classificação;Situação;Data/hora da situação atual;Evento associado
2025-40563281-9;(BM) 2025-033688400-001;20/07/2025 20:38;RUA GERSON RIBEIRO, Nº 270 - NOVA CALIFORNIA - PASSOS;;;V02102 - VITIMA DE ATROPELAMENTO POR MOTOCICLETA (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;21/07/2025 17:39;Não
2026-44429601-0;(BM) 2026-011428968-001;08/03/2026 08:54;RUA REGISTRO, Nº 2001 - CONTAGEM;-198.932.026;-440.936.632;X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);BM1551159;Não;Não;Não;;Em controle;08/03/2026 10:41;Não
2026-44722556-1;(BM) 2026-013696481-001;25/03/2026 07:35;RUA DOUTOR CARVALHO, Nº 50 - PASSOS;-207.220.743;-466.082.896;X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 3 - Baixa);1CIA IND/2CIA/3PEL(PIUMHI);TPO01399;Não;Não;Não;;Terminada;25/03/2026 11:00;Não
2026-44723422-0;(BM) 2026-013702569-001;25/03/2026 08:53;AVENIDA PINHEIRO, Nº 1453 - SERRA DAS BRISAS - PASSOS;-207.348.072;-465.972.172;P01001 - VISTORIA DE FISCALIZACAO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/PEL PREV E VIST(PASSOS);ASL00063;Não;Não;Não;;Terminada;25/03/2026 09:41;Não
2026-44724030-6;(BM) 2026-013709874-001;25/03/2026 09:42;AVENIDA ANTONIO DIAS MACHADO, Nº 180 - PASSOS;-207.354.708;-46.648.652;P01001 - VISTORIA DE FISCALIZACAO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/PEL PREV E VIST(PASSOS);ASL00063;Não;Não;Não;;Terminada;25/03/2026 12:10;Não
2026-44724178-7;(BM) 2026-013712040-001;25/03/2026 09:55;RODOVIA MG 050, Nº S/N - PASSOS;-207.379.186;-46.618.731;X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ASL06087;Não;Não;Não;;Terminada;25/03/2026 10:36;Não
2026-44724762-4;(BM) 2026-013719133-001;25/03/2026 10:36;RUA CAETES, Nº 514 - NOSSA SENHORA APARECIDA - PASSOS;-207.432.342;-466.057.773;P02011 - VISTORIA EM ENXAME DE INSETOS (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ASL06087;Não;Não;Não;;Terminada;25/03/2026 11:50;Não
2026-44724982-0;(BM) 2026-013723902-001;25/03/2026 10:54;AVENIDA DOUTOR BRENO SOARES MAIA, Nº 481 - NOVO HORIZONTE - PASSOS;-207.305.173;-466.035.428;P03001 - PERIGO DE DERRAPAGEM (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);VOB00480;Não;Não;Não;;Terminada;25/03/2026 11:50;Não
2026-44725360-6;(BM) 2026-013726449-001;25/03/2026 11:22;RUA ANTONIO DE OLIVEIRA JUNIOR, Nº 86 - POCOS DE CALDAS;;;S06001 - SALVAMENTO DE ANIMAL EM RISCO / PERIGO (C) (Prioridade: 2 - Média);1CIA IND/1CIA/1PEL;ASL09650;Não;Não;Não;;Terminada;25/03/2026 11:52;Não
2026-44728510-3;(BM) 2026-013761281-001;25/03/2026 15:11;AVENIDA COMENDADOR FRANCISCO A MAIA, Nº S/N - SANTA CASA - PASSOS;-207.146.788;-466.127.072;X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ASL06087;Não;Não;Não;;Terminada;25/03/2026 17:01;Não
2026-44730275-8;(BM) 2026-013782471-001;25/03/2026 16:46;RUA JUIZ DE FORA / RUA CAMPANARIO - COHAB 2 - PASSOS;-207.092.254;-46.627.876;V03026 - VITIMA COM ENTORSE/ESTIRAMENTO/LUXACAO (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;;Terminada;25/03/2026 17:59;Não
2026-44733067-7;(BM) 2026-013812755-001;25/03/2026 19:35;RUA PARA, Nº 801 - SANTA LUZIA - PASSOS;-207.109.648;-466.031.216;V01006 - VITIMA COM DIFICULDADE DE LOCOMOCAO (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;;Terminada;25/03/2026 20:58;Não
2026-44737732-6;(BM) 2026-013855265-001;26/03/2026 03:07;RODOVIA MG 344, Nº S/N - DISTRITO INDUSTRIAL - ITAU DE MINAS;-207.561.761;-467.618.226;V02408 - VITIMA DE COLISAO ENTRE AUTOMOVEL X MOTOCICLETA (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;;Terminada;26/03/2026 05:57;Não
2026-44737725-0;(PM) 2026-013857775-001;26/03/2026 03:08;RODOVIA MG 344, Nº S/N - DISTRITO INDUSTRIAL - ITAU DE MINAS;-207.561.761;-467.618.226;W98011 - SOLICITACAO DE APOIO (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);;Não;Não;Não;DUPLICADA;Classificada;26/03/2026 03:28;Não
