Nº chamada;Nº REDS;Data/hora de criação;Local do fato;Latitude  do local;Longitude do local;Natureza;Unidade Responsável;Recursos empenhados;Alerta;Destaque;Envolve autoridade;Tipo de classificação;Situação;Data/hora da situação atual;Evento associado
2025-40563281-9;(BM) 2025-033688400-001;20/07/2025 20:38;RUA GERSON RIBEIRO, Nº 270 - NOVA CALIFORNIA - PASSOS;;;V02102 - VITIMA DE ATROPELAMENTO POR MOTOCICLETA (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;21/07/2025 17:39;Não
2026-44429601-0;(BM) 2026-011428968-001;08/03/2026 08:54;RUA REGISTRO, Nº 2001 - CONTAGEM;-198.932.026;-440.936.632;X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);BM1551159;Não;Não;Não;;Em controle;08/03/2026 10:41;Não
2026-44791319-5;(BM) 2026-014357573-001;29/03/2026 09:05;RUA BRAGANCA, Nº 141 - PENHA - PASSOS;-207.189.652;-466.294.615;V02502 - VITIMA DE QUEDA (MOTOCICLISTA) (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;;Terminada;29/03/2026 10:58;Não
2026-44792314-7;(BM) 2026-014357730-001;29/03/2026 10:59;AVENIDA JUCA STOCKLER, Nº 2354 - SAO JOAQUIM - PASSOS;-207.450.514;-466.000.422;S06001 - SALVAMENTO DE ANIMAL EM RISCO / PERIGO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ASL06087;Não;Não;Não;;Terminada;29/03/2026 11:19;Não
2026-44792510-5;(BM) 2026-014359650-001;29/03/2026 11:17;AVENIDA PAINEIRA, Nº 2382 - SERRA DAS BRISAS - PASSOS;-207.332.403;-465.955.571;O02013 - INCENDIO EM EDIFICACAO INDUSTRIAL (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);VOB00480;Não;Não;Não;;Terminada;29/03/2026 14:35;Não
2026-44792867-6;(BM) 2026-014419670-001;29/03/2026 12:04;RUA SANTA CATARINA, Nº 359 - BELA VISTA - PASSOS;-207.186.922;-46.596.727;V01005 - VITIMA COM CRISE HIPERTENSIVA/HIPOTENSAO (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;;Terminada;29/03/2026 12:57;Não
2026-44793324-6;(BM) 2026-014366574-001;29/03/2026 13:00;RODOVIA BR 265, Km 538 - ALPINOPOLIS;-208.853.435;-463.255.512;S04007 - BUSCA E SALVAMENTO DE PESSOA PERDIDA / DESAPARECIDA (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);ASL06087;Não;Não;Não;;Terminada;29/03/2026 18:47;Não
2026-44794341-0;(BM) 2026-014376827-001;29/03/2026 14:31;AVENIDA NACOES, Nº 1399 - RESIDENCIAL VILLAGIO DI ITALIA - PASSOS;-207.106.632;-465.880.998;O02027 - INCENDIO VEIC. AUTOMOTOR (EXCETO TANQUE/ONIBUS/MICRO-ONIBUS) (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);VOB00480;Não;Não;Não;;Terminada;29/03/2026 15:47;Não
2026-44796294-3;(BM) 2026-014394110-001;29/03/2026 16:32;RUA ELZO CALIXTO MATTAR, Nº 857 - EXPOSIÇAO - PASSOS;;;V01018 - VITIMA DE MAL NAO DEFINIDO (DISTURBIO) (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;;Terminada;29/03/2026 18:16;Não
2026-44797176-2;(BM) 2026-014408276-001;29/03/2026 17:29;RUA PLUTAO / RUA VENUS - COHAB 3 - PASSOS;-207.077.878;-466.201.533;O04009 - INCENDIO EM AREA URBANA PERTENCENTE A ORGAO PUBLICO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);VOB00480;Não;Não;Não;;Terminada;29/03/2026 19:02;Não
2026-44798681-0;(BM) 2026-014412703-001;29/03/2026 19:02;RUA CAETES, Nº 514 - NOSSA SENHORA APARECIDA - PASSOS;-207.432.342;-466.057.773;S06005 - CAPTURA DE INSETOS (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);VOB00480;Não;Não;Não;;Terminada;29/03/2026 20:15;Não
2026-44798837-8;(BM) 2026-014420779-001;29/03/2026 19:12;RUA DOS STELLAS, Nº 223 - JARDIM RIO BRANCO - ANDRADAS;-22.073.233;-465.912.995;W04000 - NADA CONSTATADO (C) (Prioridade: 3 - Baixa);1CIA IND/1CIA/1PEL/PA BM(ANDRADAS);ASL06072;Não;Não;Não;;Terminada;29/03/2026 20:05;Não
2026-44799222-9;(BM) 2026-014428511-001;29/03/2026 19:35;RUA SANTA CASA, Nº 20 - SANTA CASA - PASSOS;-207.126.571;-466.111.259;O04012 - INCENDIO EM LOTE VAGO (AREA URBANA) (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);VOB00480;Não;Não;Não;;Terminada;29/03/2026 21:14;Não
2026-44800615-2;(BM) 2026-014428537-001;29/03/2026 21:01;RUA CORREA NETO, Nº S/N - CASCATINHA - POCOS DE CALDAS;;;O04012 - INCENDIO EM LOTE VAGO (AREA URBANA) (C) (Prioridade: 2 - Média);1CIA IND/1CIA/1PEL;ABTS01022;Não;Não;Não;;Terminada;29/03/2026 22:04;Não
2026-44802199-0;;29/03/2026 22:41;RUA LAVRAS, Nº 288 - FURNAS - SAO JOSE DA BARRA;-20.679.014;-463.342.384;S04007 - BUSCA E SALVAMENTO DE PESSOA PERDIDA / DESAPARECIDA (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);ASL06087;Não;Não;Não;;Em controle;30/03/2026 00:09;Não
2026-44802596-0;(BM) 2026-014447953-001;29/03/2026 23:06;RUA PICA PAU / RUA CAETES - NOSSA SENHORA APARECIDA - PASSOS;-20.743.286;-466.056.454;V01003 - VITIMA COM CRISE CONVULSIVA (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;;Terminada;30/03/2026 00:01;Não
