Nº chamada;Nº REDS;Data/hora de criação;Local do fato;Latitude  do local;Longitude do local;Natureza;Unidade Responsável;Recursos empenhados;Alerta;Destaque;Envolve autoridade;Tipo de classificação;Situação;Data/hora da situação atual;Evento associado
2026-44338228-2;(BM) 2026-009929860-001;03/03/2026 03:08;RUA TERMOPOLIS, Nº 30 - MUARAMA - PASSOS;-207.318.587;-466.152.706;S06003 - CAPTURA DE CAO PERIGOSO / AGRESSIVO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ASL06087;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;03/03/2026 07:20;Não
2026-44338276-5;;03/03/2026 03:20;RUA SAO LOURENCO / RUA TERMOPOLIS - MUARAMA - PASSOS;-207.319.439;-46.614.938;W98011 - SOLICITACAO DE APOIO (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);;Não;Não;Não;DUPLICADA;Classificada;03/03/2026 04:23;Não
2026-44340241-3;(BM) 2026-009955464-001;03/03/2026 09:10;RUA CANJERANUS, Nº 760 - CANJERANUS - PASSOS;-207.129.782;-466.063.295;V01013 - VITIMA DE EMERGENCIAS PSIQUIATRICAS (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;04/03/2026 07:17;Não
2026-44343132-4;(BM) 2026-009982560-001;03/03/2026 13:08;RUA RUA D, Nº 50 - DELFINOPOLIS;;;P01002 - VISTORIA DE LIBERACAO / EMISSAO DE AVCB (C) (Prioridade: 2 - Média);1CIA IND/2CIA/PEL PREV E VIST(PASSOS);ASL00063;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;04/03/2026 07:17;Não
2026-44343267-3;(BM) 2026-009983825-001;03/03/2026 13:19;AVENIDA ANTONIO ADAO DA SILVA, Nº 90 - PASSOS;;;P01002 - VISTORIA DE LIBERACAO / EMISSAO DE AVCB (C) (Prioridade: 2 - Média);1CIA IND/2CIA/PEL PREV E VIST(PASSOS);APV06243;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;04/03/2026 07:17;Não
2026-44344403-5;(BM) 2026-010012659-001;03/03/2026 14:29;RUA IBIA, Nº 40 - PARQUE DA ESTACAO - PASSOS;-207.055.307;-466.125.024;S06002 - CAPTURA DE ANIMAL SILVESTRE PERIGOSO / AGRESSIVO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ASL06087;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;04/03/2026 07:17;Não
2026-44344813-7;(BM) 2026-010001176-001;03/03/2026 14:49;RUA JOSE JACINTO RIBEIRO, Nº 410 - SÃO BENEDITO - ALPINOPOLIS;-208.562.759;-463.920.595;P01002 - VISTORIA DE LIBERACAO / EMISSAO DE AVCB (C) (Prioridade: 2 - Média);1CIA IND/2CIA/PEL PREV E VIST(PASSOS);ASL00063;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;04/03/2026 07:17;Não
2026-44349849-1;(BM) 2026-010076738-001;03/03/2026 19:21;RUA WALDOMIRO CAETANO MACHADO, Nº 270 - PASSOS;-207.162.372;-466.333.086;P02011 - VISTORIA EM ENXAME DE INSETOS (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ASL06087;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;04/03/2026 07:17;Não
2026-44355804-8;(BM) 2026-010115950-001;04/03/2026 06:00;RUA DOUTOR CARVALHO, Nº 1455 - NOSSA SENHORA DAS GRAÇAS - PASSOS;-207.352.269;-466.037.303;X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/PEL PREV E VIST(PASSOS);APV06243;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;04/03/2026 22:57;Não
2026-44357185-9;(BM) 2026-010128043-001;04/03/2026 08:44;AVENIDA SABIA, Nº S/N - MUARAMA 2 - PASSOS;-207.330.855;-466.157.928;W06000 - TESTE (C) (Prioridade: 3 - Baixa);1CIA IND/2CIA/1PEL(PASSOS);1193;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;05/03/2026 07:44;Não
2026-44357870-3;(BM) 2026-010136758-002;04/03/2026 09:36;RUA AGUAS FORMOSAS, Nº 65 - CENTENARIO - PASSOS;-207.289.127;-466.129.468;P02011 - VISTORIA EM ENXAME DE INSETOS (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ASL06087 / VOB00480;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;05/03/2026 07:32;Não
2026-44358494-9;(BM) 2026-010153770-001;04/03/2026 10:27;RUA GAIVOTA, Nº 210 - NOSSA SENHORA DAS GRAÇAS - PASSOS;-20.738.517;-46.605.649;V01018 - VITIMA DE MAL NAO DEFINIDO (DISTURBIO) (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;05/03/2026 07:31;Não
2026-44359541-2;(BM) 2026-010203782-001;04/03/2026 11:46;RUA BOA ESPERANCA, Nº 414 - NOSSA SENHORA DE LOURDES - PASSOS;-207.007.864;-466.184.413;W03000 - SOLICITANTE ENCONTRADO - PROVIDENCIA DISPENSADA (C) (Prioridade: 3 - Baixa);1CIA IND/2CIA/1PEL(PASSOS);ASL06087;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;05/03/2026 07:44;Não
2026-44360397-5;(BM) 2026-010169431-001;04/03/2026 13:14;RUA BUENOS AIRES, Nº 650 - CALIFORNIA - PASSOS;-207.052.817;-466.178.981;V03018 - VITIMA DE QUEDA DA PROPRIA ALTURA (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;05/03/2026 07:31;Não
2026-44360975-0;;04/03/2026 13:54;RUA LYDIA AGELUNE PIANTINO, Nº 98 - RESIDENCIAL VILLAGIO DI ITALIA - PASSOS;-207.309.329;-465.894.239;W98011 - SOLICITACAO DE APOIO (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);;Não;Não;Não;DUPLICADA;Classificada;04/03/2026 14:22;Não
2026-44361015-2;(BM) 2026-010177440-001;04/03/2026 13:57;RUA LYDIA AGELUNE PIANTINO, Nº 98 - VILAGE DE ITALIA - PASSOS;;;W03000 - SOLICITANTE ENCONTRADO - PROVIDENCIA DISPENSADA (C) (Prioridade: 3 - Baixa);1CIA IND/2CIA/1PEL(PASSOS);ABT00816;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;05/03/2026 07:44;Não
2026-44363238-8;(BM) 2026-010203650-001;04/03/2026 15:54;RUA ANDRADAS, Nº 76 - PENHA - PASSOS;-207.173.982;-466.277.724;V01006 - VITIMA COM DIFICULDADE DE LOCOMOCAO (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;05/03/2026 07:31;Não
